Age,Annual Income,Credit Score,Experience,Loan Amount,Loan Duration,Number of Dependents,Monthly Debt Payment,Creditcard Utilizatio Rate,Number of Open Credit Lines,Number of Credit Inquries,Debt to Income Ratio,Bankruptcy History,Previous Loan Defaults,Payment History,Length of Credit History,Savings Account Balance,Checking Account Balance,Total Assets,TotalLiabilities,MonthlyIncome,UtilityBillsPaymentHistory,JobTenure,NetWorth,InterestRate,MonthlyLoanPayment,TotalDebtToIncomeRatio,LoanApproved
45,39948,617,22,13152,48,2,183,0.354417919,1,2,0.3583356,0,0,29,9,7632,1202,146111,19183,3329,0.724972046,11,126928,0.22758963,419.8059916,0.181077198,0
38,39709,628,15,26045,48,1,496,0.087826968,5,3,0.33027367,0,0,21,9,4627,3460,53204,9595,3309.083333,0.935132099,3,43609,0.201077121,794.0542382,0.389852448,0
47,40724,570,26,17627,36,2,902,0.137414104,2,0,0.244729109,0,0,20,22,886,895,25176,128874,3393.666667,0.872240611,6,5205,0.21254801,666.4066877,0.462156965,0
58,69084,545,34,37898,96,1,755,0.267587137,2,1,0.436244265,0,0,27,10,1675,1217,104822,5370,5757,0.896154707,5,99452,0.300910849,1047.50698,0.313098312,0
58,51250,564,39,12741,48,0,337,0.367380343,6,1,0.127472703,0,0,21,18,5161,1735,65624,43894,4270.833333,0.884275127,5,21730,0.205270968,391.3003517,0.170528863,0
34,116841,603,12,55353,60,5,638,0.192701165,3,0,0.31323326,1,0,25,29,1157,708,29632,49940,9736.75,0.728396927,3,7711,0.291539425,1762.199026,0.246509259,0
46,40615,612,19,25443,12,4,704,0.512464644,3,2,0.505148027,0,0,23,10,1028,446,129664,12852,3384.583333,0.61532321,3,116812,0.197270602,2353.577424,0.903383703,0
34,73646,478,10,48716,84,3,267,0.211235988,4,1,0.08144473,0,0,25,7,9266,3875,148966,20315,6137.166667,0.678446967,4,128651,0.333538882,1504.452489,0.288643373,0
34,15000,591,11,30088,24,2,295,0.312183775,5,1,0.346685661,0,0,21,28,259,348,33062,3353,1250,0.842015471,3,29709,0.182401198,1505.609528,1.440487622,0
42,74453,573,21,16154,60,1,258,0.527488434,6,0,0.371033592,0,0,26,7,781,1633,16204,35493,6204.416667,0.718948883,5,5231,0.255684531,479.5398903,0.118873366,0
18,100508,580,0,20439,60,1,247,0.168624846,5,2,0.58136098,0,1,20,3,2027,916,181813,99030,8375.666667,0.543748779,6,82783,0.245374274,594.3815332,0.10045547,0
19,47624,597,0,27197,36,1,196,0.114966564,2,1,0.751514819,0,0,15,21,2971,576,45336,9418,3968.666667,0.719940554,3,35918,0.202228922,1013.829375,0.304845299,0
27,50042,582,7,19105,60,1,680,0.103919134,6,3,0.308869314,0,0,36,14,2214,1219,11162,89196,4170.166667,0.920866973,5,7021,0.187129387,492.5814437,0.281183352,0
29,16021,553,8,14655,72,0,286,0.55603001,5,1,0.10456869,0,1,25,12,8651,1127,29278,25345,1335.083333,0.949187834,4,3933,0.234766213,381.1768758,0.499726765,0
23,34698,594,0,14314,60,3,755,0.18720284,5,0,0.100597962,0,0,27,29,3721,2098,128035,72605,2891.5,0.874070288,5,55430,0.231478314,404.7350889,0.401084243,0
37,59138,594,14,13205,72,0,564,0.393772188,2,1,0.111663227,0,0,18,9,1187,5192,24257,18681,4928.166667,0.813101025,4,5576,0.211443961,325.1174211,0.180415453,0
22,63300,503,0,16476,24,2,376,0.389649375,3,1,0.235798589,0,0,29,7,2154,1735,14710,53225,5275,0.870722953,5,6903,0.231670288,864.2694728,0.235122175,0
33,39676,555,12,47795,60,1,199,0.346519864,2,1,0.573394538,0,0,19,4,840,1085,157749,76577,3306.333333,0.583599495,4,81172,0.253474142,1412.597891,0.48742753,0
41,59192,594,16,45608,36,4,222,0.409336365,4,0,0.230115845,0,0,18,1,21084,3449,67609,9196,4932.666667,0.844395236,3,58413,0.200682644,1696.543489,0.388946511,0
26,15059,462,0,20240,24,3,443,0.09882176,2,0,0.067066338,0,0,16,25,713,7335,29861,13107,1254.916667,0.599027175,12,16754,0.246020665,1076.202706,1.21060047,0
44,15305,608,23,21452,48,4,443,0.111314692,1,1,0.063153792,0,0,21,29,9547,979,16936,7005,1275.416667,0.907674268,2,9931,0.225375302,682.1440642,0.882177639,0
32,35498,622,10,11136,36,0,698,0.39074471,2,0,0.176444352,0,0,18,17,1346,205,34189,31484,2958.166667,0.703667984,3,2705,0.164845971,394.1781845,0.369207792,0
32,23861,592,10,19570,36,0,521,0.232777306,2,3,0.223711225,0,0,29,27,3348,1072,85166,8627,1988.416667,0.773488801,8,76539,0.197034892,724.3380618,0.62629633,0
62,73843,667,37,44668,60,1,388,0.29595832,7,2,0.156913701,1,0,16,3,17023,3352,56887,90622,6153.583333,0.944648654,5,3068,0.234603328,1271.053755,0.26960775,0
39,61099,559,19,10094,84,0,380,0.128351414,1,0,0.265219566,0,0,21,19,2987,1795,69823,23540,5091.583333,0.880247879,4,46283,0.261050046,262.6701512,0.126222063,0
27,15000,535,4,11318,120,2,721,0.582754942,2,3,0.448384819,0,0,15,18,4172,3835,303949,13680,1250,0.86552466,1,290269,0.343594011,335.3986467,0.845118917,0
49,34738,520,25,10166,72,2,388,0.566340205,3,3,0.314513811,0,0,27,4,1767,2757,249298,10972,2894.833333,0.879833763,2,238326,0.273933243,288.9598327,0.233851056,0
25,85889,571,3,24186,72,2,870,0.331656765,4,0,0.050538644,0,0,31,10,14921,1110,18899,5554,7157.416667,0.905685066,4,13345,0.279617748,696.1364545,0.21881309,0
24,57231,508,0,35876,48,4,370,0.572203518,3,0,0.134740613,0,0,20,21,7737,242,214229,73682,4769.25,0.508966871,8,140547,0.230468198,1150.799076,0.31887594,0
48,38453,595,26,30517,48,0,560,0.382437705,0,0,0.103003265,0,0,22,20,5165,1539,46352,3481,3204.416667,0.79354296,6,42871,0.226230533,971.8230602,0.478034919,0
38,57860,591,20,25576,96,4,159,0.144070321,3,0,0.074387032,0,0,27,1,2059,427,463089,25653,4821.666667,0.841298379,8,437436,0.287654958,683.4043512,0.174712275,0
36,30890,590,16,10176,24,2,289,0.213863749,3,1,0.124730217,0,0,23,6,11162,249,43010,28334,2574.166667,0.808568549,7,14676,0.176526645,506.3215206,0.308962714,0
22,15561,500,1,20169,36,2,346,0.104223771,6,0,0.374558377,0,0,25,13,1929,1463,16965,5913,1296.75,0.598246307,4,11052,0.2423903,793.8209078,0.878982771,0
31,105957,530,7,53987,72,0,399,0.046450446,0,0,0.621059192,0,0,31,16,4218,208,165299,69541,8829.75,0.525186497,3,95758,0.326750988,1718.377313,0.23980037,0
34,82887,545,13,20996,84,2,471,0.374017043,2,0,0.151595948,0,0,19,8,16502,1246,17748,117394,6907.25,0.904931027,2,4958,0.279583208,571.7878723,0.150970049,0
52,53555,631,31,29418,60,1,221,0.257700044,0,1,0.147909138,0,0,28,20,9902,1607,12300,27582,4462.916667,0.800298277,4,2753,0.21766388,808.5905594,0.230699033,0
44,105639,627,20,20409,108,0,387,0.282174466,1,4,0.327078397,0,0,22,21,3379,5476,165235,22300,8803.25,0.623227567,5,142935,0.263740227,495.9515749,0.100298364,0
18,58342,519,0,10077,24,3,592,0.159214493,3,0,0.192869156,0,0,20,7,5076,230,25120,15562,4861.833333,0.949535893,8,9558,0.26069905,543.2493604,0.23350232,0
35,16054,526,13,20612,36,1,465,0.144362237,1,2,0.206533044,0,0,25,21,4127,665,51140,11870,1337.833333,0.615917072,6,39270,0.231663828,799.6733391,0.945314568,0
31,36057,592,11,29501,36,3,384,0.231684159,4,0,0.187428659,0,0,18,12,2220,438,19637,56982,3004.75,0.731987106,4,1500,0.214285281,1117.953612,0.499859759,0
51,48757,615,27,16173,84,3,817,0.210713971,1,0,0.305376717,0,0,28,19,21739,266,39354,97462,4063.083333,0.491342169,2,3120,0.221322805,380.1899402,0.2946506,0
29,31683,498,5,10566,24,2,183,0.443554106,4,2,0.090370619,0,0,22,12,30896,2581,278821,123883,2640.25,0.829092654,5,154938,0.209471438,542.6665153,0.274847653,0
43,72408,616,18,23181,48,0,803,0.234654441,1,2,0.365438817,1,0,22,29,3815,305,22524,33442,6034,0.820967194,4,5786,0.2522172,771.4847976,0.260935498,0
51,105087,653,33,48331,108,1,772,0.116999562,5,1,0.180557546,0,1,22,24,21204,2121,201313,59261,8757.25,0.574198602,4,142052,0.273712499,1208.153325,0.226115884,0
34,15000,607,11,26412,96,1,468,0.031266607,1,2,0.350112392,0,0,18,22,2232,2085,234374,11163,1250,0.8258669,6,223211,0.276450517,685.4486807,0.922758945,0
37,38513,600,16,21225,48,2,373,0.518635366,2,0,0.168435829,0,0,22,29,1458,340,44836,28653,3209.416667,0.875203422,4,16183,0.231104163,681.5771431,0.328588417,0
25,15000,576,1,18177,48,0,528,0.273312263,6,1,0.236083226,0,0,25,3,5689,1111,99036,274582,1250,0.868719772,3,1077,0.219854905,572.5428041,0.880434243,0
49,24973,611,30,17466,48,3,336,0.280081587,1,0,0.414994447,0,0,23,12,3167,1547,44944,30121,2081.083333,0.872346286,9,14823,0.221443098,551.6544409,0.426534789,0
56,18248,574,37,16443,24,0,733,0.283474182,2,1,0.063628336,0,0,23,20,2682,548,204131,11483,1520.666667,0.933891937,2,192648,0.173698456,815.9042462,1.018569211,0
52,32418,647,29,32208,12,2,447,0.413401982,1,0,0.318759767,0,0,26,3,2926,533,326015,12696,2701.5,0.778286767,3,313319,0.1507094,2908.11798,1.241946319,0
44,26879,649,21,20313,60,1,562,0.4332425,3,2,0.219649579,0,0,22,29,4029,3740,94575,23485,2239.916667,0.754221407,5,71090,0.198963951,536.9999395,0.490643226,0
44,19924,535,20,21767,48,0,495,0.245326014,3,0,0.384352371,0,0,32,19,21032,1679,22711,8051,1660.333333,0.814455674,8,14660,0.2991204,782.629287,0.769501679,0
58,35372,612,38,25313,24,1,424,0.291020376,3,0,0.404388836,0,0,20,26,2811,3235,123931,4752,2947.666667,0.857234885,3,119179,0.196999658,1284.618306,0.579651127,0
18,15000,570,0,50226,48,1,537,0.208115531,10,0,0.226735283,0,1,16,26,3575,3286,153676,71478,1250,0.783563628,3,82198,0.228380006,1605.36257,1.713890056,0
49,40829,617,25,25478,36,1,785,0.073220558,3,0,0.253745924,0,0,11,14,2267,1111,42122,7348,3402.416667,0.951948631,0,34774,0.179312099,920.2117649,0.501176644,0
41,58655,523,16,26493,96,4,206,0.415304422,4,0,0.175187563,0,0,24,13,2003,1731,64414,41991,4887.916667,0.85271372,1,22423,0.334440137,795.1657823,0.204824642,0
36,68801,531,14,18652,36,0,1044,0.165515713,1,2,0.335232924,0,1,30,16,1810,630,446359,16938,5733.416667,0.554409423,2,429421,0.2857824,777.3521551,0.317673084,0
41,92731,619,19,31116,48,1,396,0.123051852,4,1,0.221117214,0,0,20,3,3025,1004,11209,14838,7727.583333,0.553710828,3,7629,0.215424503,972.6302006,0.17710973,0
18,40050,545,0,112253,48,1,406,0.306127621,4,1,0.184527533,0,1,33,2,1506,726,18390,29714,3337.5,0.937030242,4,7672,0.358485696,4432.382784,1.449702707,0
37,40784,618,14,41465,72,0,370,0.174326245,3,0,0.203760957,0,0,26,27,21978,1394,197632,25549,3398.666667,0.831500989,4,172083,0.292763473,1228.160165,0.470231512,0
44,15000,588,23,26563,48,0,378,0.308927643,3,3,0.298108408,0,0,24,21,1357,2246,496594,22556,1250,0.880859763,6,474038,0.209816068,822.2789888,0.960223191,0
33,17676,540,8,17801,48,4,226,0.153094569,4,1,0.355642791,0,0,38,21,8380,1994,70945,22271,1473,0.878423281,5,48674,0.243880793,584.1709707,0.550014237,0
30,42752,517,4,14379,36,2,363,0.357778636,3,0,0.297587934,0,0,18,2,6094,1404,172820,26438,3562.666667,0.816055799,4,146382,0.239661812,563.8738944,0.260162957,0
33,29096,570,12,40138,24,3,685,0.141297078,2,1,0.23944694,0,0,28,19,1461,1471,86250,50013,2424.666667,0.76075839,4,36237,0.248600622,2139.408949,1.16486484,0
50,60992,663,30,24642,48,0,664,0.252637684,0,0,0.055588171,0,0,28,17,4726,1723,52202,13350,5082.666667,0.917147963,4,38852,0.216449288,771.6304126,0.282456141,0
33,35882,620,11,9259,48,0,257,0.170245836,3,0,0.147593005,0,0,23,11,3552,1162,61154,91262,2990.166667,0.883371579,3,8266,0.200011478,281.7603872,0.180177377,0
46,32781,623,22,17468,60,1,1180,0.087482384,4,0,0.093777322,0,0,23,19,7428,2122,299192,4938,2731.75,0.660953655,2,294254,0.232065323,494.5061264,0.612979272,0
41,51707,585,18,20069,72,3,407,0.005922389,5,0,0.217388379,0,0,25,7,3815,1252,24114,24580,4308.916667,0.837323714,4,2253,0.268223329,563.2583043,0.225174534,0
51,31251,596,30,66582,24,0,357,0.566448097,2,2,0.160169554,0,1,21,25,2313,945,30153,37940,2604.25,0.784061566,5,3276,0.24745644,3545.091047,1.498355015,0
31,22359,524,11,26889,48,2,216,0.221131696,5,1,0.455259931,0,0,14,8,24764,3578,131521,46881,1863.25,0.853879192,4,84640,0.240713535,877.6917767,0.586980693,0
35,15120,562,11,21849,84,0,423,0.515726666,5,1,0.238644521,0,0,24,26,1874,1245,18522,14697,1260,0.951149525,5,3825,0.244170701,544.9168705,0.768187992,0
43,30948,601,17,25291,36,0,286,0.050951342,1,0,0.360348689,0,0,19,25,7167,291,99978,21318,2579,0.743577766,9,78660,0.223307718,970.2078724,0.487091071,0
40,56940,592,21,15752,96,0,213,0.425049983,3,0,0.117237585,0,0,20,7,1349,634,97769,33321,4745,0.790791161,5,64448,0.261601498,392.9661211,0.127706243,0
37,44000,539,13,28714,60,3,457,0.414182437,3,1,0.199994093,0,0,10,29,5872,2939,331208,29418,3666.666667,0.946449956,8,301790,0.244173748,833.0142733,0.351822075,0
23,81554,509,4,35101,72,1,519,0.357920901,5,0,0.29432355,0,0,23,24,3233,1955,84421,14641,6796.166667,0.823124385,5,69780,0.316512275,1093.628675,0.237285039,0
34,26567,612,13,17339,60,1,194,0.087386093,1,1,0.065337074,0,0,17,14,2738,512,55729,81589,2213.916667,0.682891631,4,9625,0.232191325,490.9800293,0.309397386,0
35,33569,596,9,37172,48,0,212,0.262914747,3,0,0.032588299,0,0,20,8,2103,12534,56452,23346,2797.416667,0.706785895,6,33106,0.224569569,1180.384964,0.497739568,0
